"Codi","Nom","Codi comarca","Nom comarca","UTM X","UTM Y","Longitud","Latitud","Georeferència"
"431188","Pratdip","08","Baix Camp","321,105.4484","4,546,621.427","0.871294807","41.05117875","POINT (0.871294807 41.05117875)"
"251636","Coma i la Pedra, la","35","Solsonès","383,531.4834","4,670,271.145","1.589798104","42.17591991","POINT (1.589798104 42.17591991)"
"250931","Fondarella","27","Pla d'Urgell","322,880.9426","4,611,396.514","0.873515184","41.63464248","POINT (0.873515184 41.63464248)"
"081786","Rajadell","07","Bages","392,396.1183","4,620,352.063","1.70622668","41.7276963","POINT (1.70622668 41.7276963)"
"171175","Palafrugell","10","Baix Empordà","513,605.6331","4,640,346.812","3.164065976","41.91495458","POINT (3.164065976 41.91495458)"
"430764","Marçà","29","Priorat","315,589.4511","4,555,157.873","0.803144969","41.12678858","POINT (0.803144969 41.12678858)"
"171411","Puigcerdà","15","Cerdanya","411,736.3821","4,698,370.194","1.926947695","42.43263033","POINT (1.926947695 42.43263033)"
"081653","Pobla de Claramunt, la","06","Anoia","389,528.9688","4,601,219.993","1.675296009","41.55502231","POINT (1.675296009 41.55502231)"
"430213","Barberà de la Conca","16","Conca de Barberà","351,852.206","4,585,879.601","1.227449026","41.41081942","POINT (1.227449026 41.41081942)"
"080919","Gelida","03","Alt Penedès","405,029.8948","4,588,329.855","1.863167973","41.44092894","POINT (1.863167973 41.44092894)"
"081764","Pujalt","06","Anoia","368,785.0756","4,619,595.179","1.422600785","41.71733521","POINT (1.422600785 41.71733521)"
"430424","Castellvell del Camp","08","Baix Camp","340,380.5838","4,560,546.303","1.096907219","41.18055339","POINT (1.096907219 41.18055339)"
"252509","Vilanova de Meià","23","Noguera","336,293.7146","4,651,175.135","1.023470182","41.99558008","POINT (1.023470182 41.99558008)"
"251497","Oliana","04","Alt Urgell","360,342.3577","4,658,500.303","1.31194814","42.06615809","POINT (1.31194814 42.06615809)"
"080569","Castelldefels","11","Baix Llobregat","414,264.7729","4,570,375.757","1.976232924","41.28026946","POINT (1.976232924 41.28026946)"
"250100","Alcanó","33","Segrià","301,053.3901","4,594,834.703","0.617145104","41.48044892","POINT (0.617145104 41.48044892)"
"250432","Vall de Boí, la","05","Alta Ribagorça","319,281.6712","4,708,146.692","0.800461177","42.50458673","POINT (0.800461177 42.50458673)"
"172018","Toses","31","Ripollès","418,998.3532","4,685,968.145","2.016964383","42.32174548","POINT (2.016964383 42.32174548)"
"083041","Vilobí del Penedès","03","Alt Penedès","388,272.8277","4,582,940.974","1.663622541","41.39024459","POINT (1.663622541 41.39024459)"
"430398","Capafonts","08","Baix Camp","334,830.6729","4,573,446.364","1.027284083","41.2955744","POINT (1.027284083 41.2955744)"
"431270","Riudecanyes","08","Baix Camp","328,845.621","4,555,194.367","0.96095419","41.1300198","POINT (0.96095419 41.1300198)"
"171208","Palau-saverdera","02","Alt Empordà","512,207.7862","4,683,913.19","3.14812057","42.30735638","POINT (3.14812057 42.30735638)"
"431140","Porrera","29","Priorat","320,205.5624","4,561,871.458","0.856129608","41.18825741","POINT (0.856129608 41.18825741)"
"080305","Cabrils","21","Maresme","447,249.0286","4,597,368.549","2.367716483","41.52622386","POINT (2.367716483 41.52622386)"
"171544","Sales de Llierca","19","Garrotxa","471,131.6627","4,676,046.49","2.650126842","42.23606905","POINT (2.650126842 42.23606905)"
"080734","Cornellà de Llobregat","11","Baix Llobregat","422,219.8476","4,578,602.71","2.070159567","41.35517145","POINT (2.070159567 41.35517145)"
"171925","Setcases","31","Ripollès","442,481.7366","4,691,645.731","2.30136792","42.37496369","POINT (2.30136792 42.37496369)"
"430379","Calafell","12","Baix Penedès","379,991.2156","4,562,052.886","1.568712715","41.20095546","POINT (1.568712715 41.20095546)"
"082536","Santa Maria de Besora","24","Osona","438,645.5229","4,664,223.718","2.257677408","42.12772104","POINT (2.257677408 42.12772104)"
"430234","Bellmunt del Priorat","29","Priorat","312,519.5723","4,559,368.739","0.765313302","41.1639882","POINT (0.765313302 41.1639882)"
"080543","Castellbisbal","40","Vallès Occidental","414,936.9376","4,591,975.786","1.981226635","41.47487524","POINT (1.981226635 41.47487524)"
"250501","Bellpuig","38","Urgell","334,402.3431","4,610,123.081","1.012110106","41.62565452","POINT (1.012110106 41.62565452)"
"431690","Vilaplana","08","Baix Camp","335,149.7691","4,566,006.932","1.03310439","41.22866612","POINT (1.03310439 41.22866612)"
"251180","Juncosa","18","Garrigues","313,960.7557","4,582,378.973","0.775456987","41.3714361","POINT (0.775456987 41.3714361)"
"080272","Cabanyes, les","03","Alt Penedès","390,414.8154","4,580,852.954","1.689614095","41.37173606","POINT (1.689614095 41.37173606)"
"170638","Espinelves","24","Osona","451,691.3243","4,635,380.574","2.417880772","41.86886642","POINT (2.417880772 41.86886642)"
"431541","Torroja del Priorat","29","Priorat","316,425.0597","4,564,776.063","0.810210307","41.21355499","POINT (0.810210307 41.21355499)"
"999998","No consta","98","No consta","0","0","0","0","POINT (0 0)"
"251945","Sant Ramon","32","Segarra","363,507.7187","4,620,501.87","1.358975924","41.72461029","POINT (1.358975924 41.72461029)"
"251229","Linyola","27","Pla d'Urgell","325,656.0099","4,619,746.506","0.904373528","41.71041342","POINT (0.904373528 41.71041342)"
"259031","Guingueta d'Àneu, la","26","Pallars Sobirà","346,741.1913","4,717,454.94","1.131988036","42.59429672","POINT (1.131988036 42.59429672)"
"252542","Vilanova de la Barca","33","Segrià","310,988.9933","4,617,968.394","0.728766743","41.6910611","POINT (0.728766743 41.6910611)"
"250411","Barbens","27","Pla d'Urgell","335,060.2261","4,616,058.335","1.018365545","41.67921889","POINT (1.018365545 41.67921889)"
"171668","Sant Jordi Desvalls","20","Gironès","496,156.5632","4,657,781.271","2.953539082","42.07208893","POINT (2.953539082 42.07208893)"
"170353","Camós","28","Pla de l'Estany","480,818.5576","4,660,219.391","2.768048383","42.09382295","POINT (2.768048383 42.09382295)"
